convex_area,area,eccentricity,extent,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,major_axis_length,minor_axis_length,perimeter,solidity,orientation,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,euler_number,equivalent_diameter,bbox-0,bbox-1,bbox-2,bbox-3,real_images,mean_intensity,std_intensity,25th Percentile,75th Percentile,iqr
23427,20485,0.934899381,0.536537454,735.2099061,654.2263953,654.2263953,4949.804852,284.2259333,100.8754428,850.3462838,0.874418406,-0.150511522,20485,1.33E-10,15060774.93,-113902598,-1.05E-09,-13401827.71,-13993602.47,-21337174145,101396752.4,1070246237,76725342533,1.15E+12,-2483441401,-1.85E+11,-4.45E+12,-2.89E+14,0.277520857,0.046409019,0.004716565,0.001982595,5.99E-06,0.000388155,9.64E-07,-1,161.5001922,12,359,344,474,"[[0.84923843 0.84531686 0.84531686 ... 0.47278353 0.54729333 0.66270039]
 [0.84923843 0.84923843 0.84923843 ... 0.48062667 0.51592078 0.63356784]
 [0.84923843 0.84923843 0.84923843 ... 0.49239137 0.4884698  0.60219529]
 ...
 [0.79128588 0.78736431 0.78736431 ... 0.75991333 0.75991333 0.7638349 ]
 [0.79128588 0.78736431 0.78736431 ... 0.75991333 0.75991333 0.7638349 ]
 [0.79128588 0.78736431 0.78736431 ... 0.75991333 0.75991333 0.7638349 ]]",0.580917041,0.192534967,0.580917041,0.192534967,-0.388382073
30003,27373,0.94364752,0.589122762,773.1509643,152.6124255,152.6124255,7021.107828,335.2571148,110.9540791,994.766594,0.912342099,-0.02440657,27373,1.63E-10,21163461.35,-137796877.4,2.92E-09,-4177459.923,352288056.7,-4674538202,192188784.6,1277135606,1.05E+11,6.55E+11,-4388450546,-90777842260,1.63E+12,-2.36E+13,0.284742585,0.052223559,0.002954619,0.001144516,2.06E-06,0.000229352,4.09E-07,1,186.6879376,24,1073,408,1194,"[[0.7786502  0.77472863 0.77472863 ... 0.78649333 0.7904149  0.7904149 ]
 [0.7786502  0.77472863 0.77472863 ... 0.78649333 0.7904149  0.7904149 ]
 [0.7786502  0.77472863 0.77472863 ... 0.78649333 0.7904149  0.7904149 ]
 ...
 [0.69268118 0.69268118 0.69268118 ... 0.66688196 0.6747251  0.6747251 ]
 [0.69268118 0.69268118 0.69268118 ... 0.66296039 0.6747251  0.6747251 ]
 [0.69268118 0.69268118 0.69268118 ... 0.66296039 0.6747251  0.6747251 ]]",0.479317556,0.20118441,0.479317556,0.20118441,-0.278133146
18455,16790,0.935386921,0.58887486,514.2160316,-96.14746652,-96.14746652,4088.790459,255.8554194,90.47711436,728.1797616,0.909780547,0.026871697,16790,-6.40E-11,8633687.17,47855234.94,4.03E-10,1614315.963,127226235.4,1083037282,68650791.81,-410120204.6,25977867000,-1.58E+11,-1388273470,21759854329,3.73E+11,1.05E+12,0.274151667,0.04545716,0.003572335,0.001290172,2.71E-06,0.000240639,-5.88E-07,1,146.2111212,29,648,326,744,"[[0.78033176 0.78033176 0.78033176 ... 0.8122698  0.80834824 0.80834824]
 [0.78033176 0.78033176 0.78033176 ... 0.8122698  0.80834824 0.80834824]
 [0.78033176 0.78033176 0.78033176 ... 0.8122698  0.80834824 0.80834824]
 ...
 [0.78008667 0.77952118 0.77952118 ... 0.77559961 0.77559961 0.77559961]
 [0.78008667 0.77952118 0.77559961 ... 0.77559961 0.77559961 0.77559961]
 [0.76832196 0.76775647 0.7638349  ... 0.77559961 0.77559961 0.77559961]]",0.513136762,0.233165911,0.513136762,0.233165911,-0.27997085
24180,21619,0.924559596,0.588720658,746.5435393,445.554002,445.554002,4756.031947,277.2709095,105.6506059,958.8975824,0.894086022,-0.109347614,21619,5.77E-11,16139524.78,-120162250.8,1.61E-09,-9632431.968,184651683.8,-15574779332,102820654.7,547297061.7,57037666091,1022982478,-1788405788,-90682376033,-80636167524,-1.02E+14,0.254524977,0.036094888,0.001819241,0.000583257,5.95E-07,0.0001058,8.14E-08,-7,165.9101134,30,89,331,211,"[[0.84225137 0.84225137 0.84617294 ... 0.81087882 0.81087882 0.81087882]
 [0.84225137 0.84617294 0.84617294 ... 0.80695725 0.80695725 0.80695725]
 [0.84225137 0.84617294 0.85009451 ... 0.80303569 0.80695725 0.80695725]
 ...
 [0.83777922 0.83385765 0.83385765 ... 0.79520745 0.79520745 0.79520745]
 [0.83777922 0.83385765 0.83385765 ... 0.79520745 0.79520745 0.79520745]
 [0.83777922 0.83385765 0.83385765 ... 0.79520745 0.79520745 0.79520745]]",0.569628147,0.203243286,0.569628147,0.203243286,-0.366384861
27075,22336,0.938729206,0.508966617,793.796494,-737.1855442,-737.1855442,5652.182144,303.6201733,104.6443912,916.038672,0.824967682,0.147318314,22336,-5.82E-11,17730238.49,126925064.3,4.66E-10,16465776.32,486147357.9,29140269343,126247140.4,138485957.1,82010714693,1.77E+12,-4258003027,1.81E+11,3.58E+12,2.86E+14,0.28859145,0.051669356,0.005892914,0.002571747,9.88E-06,0.000530105,1.60E-06,1,168.6388996,38,836,373,967,"[[0.78425333 0.78425333 0.78425333 ... 0.74727765 0.74727765 0.74727765]
 [0.78425333 0.78425333 0.78425333 ... 0.74727765 0.74727765 0.74727765]
 [0.78425333 0.78425333 0.78425333 ... 0.74727765 0.74727765 0.74727765]
 ...
 [0.77952118 0.77952118 0.77952118 ... 0.43045765 0.41141529 0.49908863]
 [0.77952118 0.77952118 0.77952118 ... 0.48340235 0.48732392 0.54727843]
 [0.77952118 0.77952118 0.77952118 ... 0.57080784 0.59825882 0.61983098]]",0.525357007,0.221646049,0.525357007,0.221646049,-0.303710958
31947,29023,0.938256775,0.532942818,1226.337113,1477.791623,1477.791623,6818.036375,339.0472795,117.2898891,942.5239533,0.908473409,-0.243119274,29023,-1.16E-10,35591982.04,-295540230,-1.57E-09,-42889946.27,-98524607.99,-1.09E+11,197879869.7,2229415838,2.78E+11,4.26E+12,-5960023309,-7.22E+11,-1.90E+13,-1.84E+15,0.277172363,0.047490126,0.003926615,0.001964096,5.45E-06,0.000424313,2.05E-07,1,192.2322327,402,365,775,511,"[[0.78344275 0.78344275 0.78344275 ... 0.52296039 0.53275294 0.64422353]
 [0.78344275 0.78344275 0.78344275 ... 0.4190502  0.46021529 0.60334118]
 [0.78344275 0.78344275 0.78344275 ... 0.37424627 0.43473647 0.57981176]
 ...
 [0.74144431 0.74144431 0.74144431 ... 0.7156749  0.7156749  0.7156749 ]
 [0.74144431 0.74144431 0.74144431 ... 0.7156749  0.7156749  0.7156749 ]
 [0.74144431 0.74144431 0.74144431 ... 0.7156749  0.7156749  0.7156749 ]]",0.52031556,0.210841932,0.52031556,0.210841932,-0.309473629
22484,14732,0.968938826,0.331219929,498.0854441,-864.1147046,-864.1147046,5733.644344,306.5309729,75.80527212,868.9198769,0.655221491,0.159416407,14732,-1.64E-11,7337794.762,43885937.15,-1.09E-09,12730137.83,221480420.2,15296330586,84468048.48,512905577.7,40994681809,1.11E+12,-2300374835,1.15E+11,2.89E+12,1.70E+14,0.423006366,0.140061735,0.015887531,0.006674873,6.53E-05,0.001663246,2.15E-05,1,136.9575298,412,1122,765,1248,"[[0.68538863 0.68538863 0.68538863 ... 0.68538863 0.68538863 0.68538863]
 [0.68538863 0.68538863 0.68538863 ... 0.68538863 0.68538863 0.68538863]
 [0.68538863 0.68538863 0.68538863 ... 0.68538863 0.68538863 0.68538863]
 ...
 [0.63777922 0.63777922 0.63777922 ... 0.56719098 0.59464196 0.61032824]
 [0.63777922 0.63777922 0.63777922 ... 0.52405373 0.53581843 0.53974   ]
 [0.63777922 0.63777922 0.63777922 ... 0.54758314 0.53581843 0.53189686]]",0.50796629,0.188367671,0.50796629,0.188367671,-0.319598619
23988,20737,0.937809368,0.530738124,909.5562318,1097.684301,1097.684301,4958.409713,289.4644403,100.487775,812.7127702,0.864473904,-0.248425163,20737,2.04E-10,18861467.58,-208463273,-5.82E-11,-22762679.34,420815062.7,-43479491148,102822542.2,19739370.89,93545008139,-1.87E+12,-2668624919,-2.24E+11,2.21E+12,-3.77E+14,0.282970822,0.04932957,0.004048564,0.001326906,2.92E-06,0.000232025,-9.65E-07,1,162.490518,415,93,711,225,"[[0.82601451 0.82601451 0.82601451 ... 0.80305059 0.80305059 0.79912902]
 [0.82209294 0.82601451 0.82993608 ... 0.79912902 0.79912902 0.79520745]
 [0.82209294 0.82601451 0.82993608 ... 0.79912902 0.79912902 0.79520745]
 ...
 [0.47896    0.45403176 0.44954471 ... 0.76497373 0.76105216 0.76105216]
 [0.48344706 0.47111686 0.48540431 ... 0.76497373 0.76105216 0.76497373]
 [0.5658     0.5658     0.57756471 ... 0.76497373 0.76105216 0.76497373]]",0.541211449,0.226796387,0.541211449,0.226796387,-0.314415061
17219,15849,0.939224632,0.587522242,464.3769963,74.91071511,74.91071511,3924.796222,250.644517,86.047066,684.901587,0.920436727,-0.021634361,15849,1.68E-11,7359911.015,3944947.554,-5.29E-10,-1187259.924,125001193.6,-1213288646,62204095.32,-95345394.32,16215875766,-53026224217,-1459723903,-6076436026,4.77E+11,-6.05E+12,0.276936918,0.047760299,0.00345024,0.0017898,4.44E-06,0.000384825,-2.15E-07,1,142.0548258,443,870,724,966,"[[0.74479255 0.74479255 0.74479255 ... 0.69743608 0.69743608 0.69743608]
 [0.74479255 0.74479255 0.74087098 ... 0.69743608 0.69743608 0.69743608]
 [0.74479255 0.74479255 0.74087098 ... 0.69743608 0.69743608 0.69743608]
 ...
 [0.68540353 0.68540353 0.68148196 ... 0.64954392 0.64562235 0.64562235]
 [0.68540353 0.68540353 0.68148196 ... 0.64954392 0.64562235 0.64562235]
 [0.68540353 0.68540353 0.68148196 ... 0.64954392 0.64562235 0.64562235]]",0.439345584,0.212895556,0.439345584,0.212895556,-0.226450028
11104,9846,0.947465795,0.519468186,284.9341587,126.2885024,126.2885024,2714.509477,208.6549791,66.7397772,564.0609665,0.886707493,-0.051793609,9846,5.07E-12,2805461.727,5495501.672,1.41E-10,-1243436.594,52048922.2,-1078892895,26727060.31,-125348532.3,5953186547,-87628343100,-414765476.2,-7225995203,2.59E+11,-7.61E+12,0.304635754,0.061547376,0.005095606,0.001577029,4.17E-06,0.000288428,-1.61E-06,1,111.9656937,464,652,698,733,"[[0.76440039 0.76047882 0.76047882 ... 0.75655725 0.75655725 0.75655725]
 [0.76440039 0.76047882 0.76047882 ... 0.75655725 0.75655725 0.75655725]
 [0.76440039 0.76047882 0.76047882 ... 0.75655725 0.75655725 0.75655725]
 ...
 [0.50248157 0.41396    0.41759882 ... 0.71175333 0.71175333 0.71175333]
 [0.43638039 0.38426902 0.46101882 ... 0.7156749  0.7156749  0.7156749 ]
 [0.55402745 0.52601098 0.57082275 ... 0.7156749  0.7156749  0.7156749 ]]",0.504486875,0.209293066,0.504486875,0.209293066,-0.29519381
